LATITUDE,LONGITUDE,ID,TOTAL_DELIVERIES,KG_DEMAND
4.6398557,-74.0755035,20527,8,47
4.9597343,-74.4325072,22692,24,458
4.6276895,-74.1982268,7842,164,605
4.6155675,-74.1618232,4677,24,447
4.6102857,-74.2227393,18917,25,165
4.6035540,-74.0811540,6164,251,55
-2.8918409,-69.7419233,321,71,715
4.5376146,-74.1145337,5919,100,112
4.4701568,-74.1261167,6165,26,702
4.6857630,-74.0364194,16918,18,75
4.7108872,-74.1359649,11357,47,59
4.6522089,-74.1595967,22626,74,765
4.7374987,-74.0943307,15676,68,119
4.5771658,-74.2103405,427,140,463
4.8378379,-74.0604402,26578,10,219
4.6888220,-74.0512481,19788,28,64
4.7007398,-74.1272855,3006,25,510
4.5676022,-74.1686036,12688,65,301
4.8107670,-74.3572533,22093,19,414
4.5733331,-74.0919825,13076,117,71
4.5649813,-74.1017705,5455,24,270
4.5666424,-74.1020541,22617,35,65
4.5736853,-74.0998419,459,1,215
4.5674130,-74.2304600,17952,13,133
5.0254005,-74.0004787,19968,22,129
4.8073082,-74.3513436,15686,3,192
4.5412114,-74.1550779,6967,18,167
4.5074641,-74.1122048,10779,42,548
4.7342444,-74.1024332,7826,13,28
4.6290881,-74.0782483,9962,82,892
4.5639389,-74.1288122,326,134,559
4.6503974,-74.0679878,647,15,372
4.7105837,-74.0329046,23272,24,69
4.6695228,-74.0665889,9783,305,302
4.4870597,-74.1009096,1571,3,711
4.7046464,-74.1120258,3739,4,129
4.6161288,-74.1675516,430,45,263
4.6370450,-74.1386290,20909,59,114
4.5904248,-74.1042519,6681,6,5763
5.0253814,-73.9831366,19812,12,313
4.7128278,-74.1190515,2008,53,196
4.6975338,-74.1032570,11708,32,790
4.6376721,-74.0773039,26064,19,141
4.7337009,-74.2620789,624,6,1462
4.5604626,-74.2415443,351,112,666
4.6100882,-74.1893836,324,35,228
-2.8918409,-69.7419233,408,123,680
4.7096555,-74.0565798,15724,29,401
4.5843772,-74.2197495,2335,131,302
4.6915196,-74.1511435,2148,75,257
4.5141866,-74.1146431,4195,10,152
4.7196851,-74.2255902,701,28,431
4.7173830,-74.1248420,7466,1,306
4.6729860,-74.1461417,521,113,562
4.5441127,-74.1103506,5908,74,378
4.9299566,-74.1724378,17207,39,568
4.7420990,-74.0369559,6885,30,335
4.6960231,-74.0997109,5622,34,38
4.5695409,-74.1692082,13409,27,32
4.6105352,-74.1485713,251,109,801
4.6066918,-74.1809138,314,67,101
4.9272363,-74.1740609,27527,40,130
4.6813250,-74.0498081,21028,56,15
4.6284867,-74.1691629,16023,41,237
4.6863131,-74.0813239,11050,225,446
4.6127832,-74.1827722,5617,47,517
4.7386194,-74.0760231,2491,102,227
-2.8918409,-69.7419233,254,188,491
4.6216371,-74.1928146,24754,24,90
4.6275972,-74.1794504,322,327,747
4.7374130,-74.2764291,771,58,414
4.5532530,-74.0907819,3873,77,242
4.5801198,-74.1052692,6079,93,423
4.6667958,-74.1462906,14294,40,16
4.5982238,-74.1998845,300,177,406
4.5877921,-74.1635281,3627,177,114
4.5896039,-74.1744270,5716,297,344
4.9144140,-74.0970688,20415,31,25
4.6314627,-74.2042234,444,45,512
4.5947151,-74.1980798,27370,6,2
4.7153081,-74.1252462,808,16,538
4.5701995,-74.1652120,10111,6,11
4.6540832,-74.1376040,7341,1,500
4.5446716,-74.0834043,3763,136,592
4.6714202,-74.0692493,9375,159,39
4.5730456,-74.1664175,17214,70,280
4.5506336,-74.1596767,582,2,512
4.5663912,-74.0993188,2336,186,379
4.5944408,-74.1778848,8229,80,670
4.5028397,-74.1155489,11171,431,362
4.7028717,-74.2160277,25831,67,5
4.6191467,-74.1718303,8631,348,214
4.6126861,-74.1692131,279,73,290
4.7556121,-74.0924415,4082,2,938
4.6682512,-74.0793733,2066,3,18
4.7526176,-74.1174414,26478,135,59
4.7124528,-74.0585400,3891,5,1065
4.6405816,-74.1385607,25534,31,115
4.5754815,-74.2439979,177,107,237
4.6573048,-74.0678087,9933,67,602
4.5725815,-74.0761904,24052,20,667
4.8525086,-74.2652926,659,131,427
4.9537119,-73.9477384,24787,144,25
5.0632190,-73.9772107,24804,10,6
4.5802292,-74.1926787,473,20,359
4.7433115,-74.1163347,6806,3,1676
4.5483569,-74.1096672,629,78,387
4.5457110,-74.1681952,590,30,358
4.5651006,-74.1549023,7126,2,16
4.5754691,-74.4435921,24853,1,28
4.5634354,-74.1315666,14343,148,535
4.5683857,-74.2439607,9205,215,607
4.6919011,-74.1011450,9365,3,3
4.6387766,-74.1727578,4894,25,136
4.7099221,-74.1429277,6535,1,1
4.7568300,-74.0852640,4061,36,243
4.6848906,-74.1043654,652,39,102
4.6113016,-74.0803134,10191,8,290
4.6209237,-74.1560156,13558,8,183
4.6977492,-74.1681432,2111,128,579
4.7252559,-74.0564884,12386,4,18
4.7639387,-74.0327869,1887,19,150
4.6612236,-74.0648792,14199,53,441
4.6789809,-74.0877595,155,138,1138
4.5372936,-74.1441363,12101,109,592
4.6028499,-74.1930944,14096,89,897
4.5735631,-74.1727597,6359,200,280
4.5806536,-74.1271527,26976,69,78
4.4884979,-74.1018996,10653,17,50
4.5474870,-74.1473140,476,160,287
4.6731610,-74.1463973,20568,93,5
4.5951450,-74.1893974,282,39,303
-2.8918409,-69.7419233,371,160,407
