LATITUDE;LONGITUDE;CLIENT_LIST;CLIENT_WEIGHT;OWN
4.721;-74.04;"6530;14367";2;0
4.688;-74.067;15499;1;0
4.748;-74.1;"8060;8061;16347";3;0
4.702;-74.129;12667;1;0
4.766;-74.024;"4220;4249";2;0
4.583;-74.212;"723;396";2;0
6.12;-75.625;1004;1;0
4.629;-74.096;9428;1;0
4.58;-74.188;"4267;4355;18027;12026";4;0
4.624;-74.198;544;1;0
4.705;-74.104;1052;1;0
4.673;-74.099;15121;1;0
4.57;-74.094;17130;1;0
4.722;-74.091;21728;1;0
4.909;-74.028;20299;1;0
4.585;-74.11;13619;1;0
4.496;-74.102;11637;1;0
4.742;-74.111;"3670;17522;3683";3;0
4.593;-74.199;1635;1;0
4.758;-74.1;"18012;9341";2;0
4.719;-74.089;2018;1;0
4.764;-74.027;14359;1;0
4.624;-74.076;11778;1;0
4.739;-74.106;6274;1;0
4.562;-74.127;849;1;0
4.807;-74.1;"3650;16257;16580";3;0
4.588;-74.126;5763;1;0
4.597;-74.2;333;1;0
4.742;-74.1;"3632;9429;6932";3;0
4.578;-74.137;4073;1;0
4.588;-74.113;5361;1;0
4.702;-74.049;14069;1;0
4.738;-74.093;20606;1;0
4.553;-74.142;22274;1;0
4.727;-74.025;13510;1;0
4.629;-74.184;"347;7448";2;0
4.713;-74.095;3997;1;0
4.591;-74.142;19217;1;0
4.565;-74.091;13270;1;0
4.752;-74.116;3422;1;0
4.67;-74.139;4558;1;0
4.605;-74.115;21310;1;0
4.577;-74.169;3225;1;0
4.558;-74.098;"5965;15136;5587";3;0
4.601;-74.122;"16872;16966";2;0
4.705;-74.024;"18237;2889";2;0
4.612;-74.195;17931;1;0
4.576;-74.163;9919;1;0
4.572;-74.238;2493;1;0
4.679;-74.135;13434;1;0
4.706;-74.096;6458;1;0
4.56;-74.125;16002;1;0
4.644;-74.17;"2957;8025;8024";3;0
4.747;-74.115;"595;14787;10091";3;0
4.562;-74.139;4690;1;0
4.67;-74.049;13123;1;0
4.626;-74.164;471;1;0
4.756;-74.097;4389;1;0
4.706;-74.124;"2736;13573";2;0
4.722;-74.117;11011;1;0
4.709;-74.107;4408;1;0
4.626;-74.183;4490;1;0
4.572;-74.094;"6943;6940";2;0
4.607;-74.176;15182;1;0
4.568;-74.071;"6009;6526";2;0
4.526;-74.115;5824;1;0
4.625;-74.192;15405;1;0
4.71;-74.215;"16361;16102";2;0
4.583;-74.14;17391;1;0
4.582;-74.159;9672;1;0
