,lat,long,weight,y_pred
614,4.6722269,-74.1453165,1.0,1
615,4.6352482,-74.1644476,1.0,1
616,4.6264957,-74.1993868,1.0,1
617,4.7159016,-74.1240633,1.0,1
618,4.5107975,-74.1002686,1.0,1
619,4.551897,-74.1515421,1.0,1
620,4.6319428,-74.1089577,1.0,1
621,4.5623755,-74.1032002,1.0,1
622,4.7007398,-74.1272855,1.0,1
623,4.5469185,-74.1488539,1.0,1
624,4.6515644,-74.0647368,1.0,1
625,4.7241496,-74.0552397,1.0,1
626,4.5663067,-74.0809298,1.0,1
627,4.7162616,-74.0613483,1.0,1
628,4.6267818,-74.1996371,1.0,1
629,4.583969,-74.2182989,1.0,1
630,4.7589183,-74.0486125,1.0,1
631,4.6787904,-74.0949759,1.0,1
632,4.7255772,-74.0863799,1.0,1
635,4.7159718,-74.1395204,1.0,1
638,4.6335501,-74.0662544,1.0,1
639,4.6511089,-74.1406226,1.0,1
640,4.5830189,-74.2089127,1.0,1
642,4.562505,-74.1475499,1.0,1
643,4.6262137,-74.1994836,1.0,1
644,4.5416692,-74.1516604,1.0,1
645,4.5694055,-74.1256675,1.0,1
646,4.5977186,-74.1225682,1.0,1
647,4.6918347,-74.1077392,1.0,1
648,4.6836616,-74.0653242,1.0,1
650,4.7238529,-74.0899414,1.0,1
651,4.7024706,-74.1231327,1.0,1
653,4.5628925,-74.1116915,1.0,1
654,4.6185679,-74.1801915,1.0,1
655,4.6841371,-74.0508751,1.0,1
656,4.7336873,-74.0921515,1.0,1
657,4.5731252,-74.1843309,1.0,1
658,4.6262752,-74.1693273,1.0,1
659,4.5959417,-74.1997818,1.0,1
660,4.5643361,-74.1427508,1.0,1
661,4.7407119,-74.0317891,1.0,1
662,4.5819486,-74.2140788,1.0,1
663,4.6369294,-74.1440206,1.0,1
664,4.7252983,-74.0917936,1.0,1
665,4.6051233,-74.0768016,1.0,1
666,4.6305918,-74.087336,1.0,1
667,4.7413403,-74.1268169,1.0,1
668,4.6124829,-74.1523007,1.0,1
669,4.5605498,-74.1292386,1.0,1
670,4.6124643,-74.0848911,1.0,1
671,4.7112644,-74.1241706,1.0,1
672,4.5735469,-74.099998,1.0,1
673,4.6862424,-74.103521,1.0,1
674,4.6687343,-74.0647655,1.0,1
675,4.6120581,-74.144603,1.0,1
676,4.7300414,-74.0978184,1.0,1
677,4.6384713,-74.1928954,1.0,1
678,4.7375764,-74.0293067,1.0,1
679,4.6869364,-74.1480496,1.0,1
680,4.6199939,-74.2053953,1.0,1
681,4.5774054,-74.1849195,1.0,1
682,4.704155,-74.1091535,1.0,1
683,4.5843335,-74.1232586,1.0,1
684,4.6050471,-74.1034959,1.0,1
686,4.5877939,-74.1378191,1.0,1
687,4.7006526,-74.0344103,1.0,1
688,4.5790563,-74.0819735,1.0,1
689,4.7157559,-74.052927,1.0,1
690,4.7410191,-74.0854386,1.0,1
691,4.7100081,-74.1037205,1.0,1
692,4.7323201,-74.0986415,1.0,1
693,4.595145,-74.1893974,1.0,1
695,4.6081171,-74.1699078,1.0,1
696,4.7279766,-74.0897599,1.0,1
698,4.6587327,-74.0709506,1.0,1
700,4.6366151,-74.1565983,1.0,1
701,4.6982624,-74.0438932,1.0,1
702,4.6982975,-74.1195855,1.0,1
704,4.6746755,-74.1473526,1.0,1
705,4.5706033,-74.2125034,1.0,1
707,4.6828475,-74.1358056,1.0,1
708,4.731633,-74.1043366,1.0,1
709,4.7230658,-74.0979879,1.0,1
710,4.622989,-74.2010477,1.0,1
711,4.712418,-74.0634228,1.0,1
713,4.6174542,-74.1795005,1.0,1
715,4.7448955,-74.1095364,1.0,1
716,4.5547075,-74.0825184,1.0,1
717,4.6643745,-74.0686511,1.0,1
718,4.7001603,-74.1093492,1.0,1
719,4.6071544,-74.2194412,1.0,1
720,4.5842016,-74.1180406,1.0,1
722,4.6797461,-74.0762216,1.0,1
723,4.6249309,-74.1888581,1.0,1
724,4.716402,-74.0627395,1.0,1
725,4.5761583,-74.1535365,1.0,1
726,4.6067051,-74.2088475,1.0,1
727,4.6731012,-74.0724213,1.0,1
728,4.5731973,-74.1815055,1.0,1
729,4.7423733,-74.1000637,1.0,1
730,4.547381,-74.1081892,1.0,1
731,4.6136005,-74.1122783,1.0,1
732,4.6031873,-74.0789444,1.0,1
735,4.6259148,-74.1839862,1.0,1
736,4.7192987,-74.0887496,1.0,1
737,4.7560438,-74.0693376,1.0,1
738,4.5788356,-74.2011744,1.0,1
739,4.5668791,-74.170124,1.0,1
740,4.6922534,-74.1966883,1.0,1
741,4.7055025,-74.1327716,1.0,1
742,4.5622365,-74.0682661,1.0,1
743,4.6081457,-74.1096942,1.0,1
744,4.636603,-74.1707447,1.0,1
745,4.5666966,-74.1443058,1.0,1
746,4.5734315,-74.153792,1.0,1
747,4.605832,-74.1041431,1.0,1
748,4.5518213,-74.1594269,1.0,1
749,4.5174881,-74.1173047,1.0,1
750,4.6885629,-74.0468324,1.0,1
752,4.7123649,-74.1391631,1.0,1
753,4.7462621,-74.0530046,1.0,1
754,4.6771062,-74.0961466,1.0,1
756,4.5012164,-74.1172746,1.0,1
757,4.5558506,-74.1126827,1.0,1
758,4.7484558,-74.0813856,1.0,1
762,4.6414183,-74.1299721,1.0,1
763,4.7415286,-74.0433539,1.0,1
764,4.6310104,-74.1081763,1.0,1
765,4.5032053,-74.1191483,1.0,1
766,4.574979,-74.1897733,1.0,1
767,4.6257514,-74.1629478,1.0,1
768,4.5423829,-74.1380344,1.0,1
769,4.57752,-74.1199073,1.0,1
770,4.5456074,-74.0839733,1.0,1
