LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.71,-74.05,7897;3462;667;4603;7436;13764;22183;21254;14057;13746;825,11,0
4.85,-74.06,20244;1830;1232;19296;19466;3715;17553;15647;22268,9,0
4.81,-74.36,21214;22093;18466;20593;18462;15702;2227;18452,8,0
4.73,-74.25,18100;14978;15071;15054,4,0
4.57,-74.19,16621;15494;53;8137;190;1638,6,0
3.45,-76.53,3694,1,0
1.22,-77.29,724,1,0
4.91,-74.03,20299,1,0
4.99,-74.03,1425,1,0
4.74,-74.13,16123;15872;8841;15689;1596;6550;2441;17622;2704;21852;15697;6497;4368;18784;19356;16069;2425;2430;5418;16360;15867;17614;2408;4804;19896;17545;2402;14458;20827,29,0
4.69,-74.08,1197;16763;15910;17948;13727;13772;1720;5299,8,0
4.99,-74.34,17631;17610;18580,3,0
4.94,-74.31,19479,1,0
3.98,-73.76,13748,1,0
6.12,-75.62,1004,1,0
4.47,-74.15,556,1,0
4.74,-74.11,7171;13018;5004;2607;14291;3902;15664;2717;2761;3888;1142;10440;10159;1919;2809;17522;2678;10439;16596;15008;21606;13014;2728;18006;4489;3683;16441;2804;6274;3076;2724;3670;13176;1577;13185;12743;12780,37,0
4.57,-74.12,18521;6844;2599;12921;5018;16009;15424;277;15191;15196;11616;14999;3808;4072;21709;13296;7478;15569;15310;18524;13304;15506;7053;5023;16443;209;19756;11262;11783;3826,30,0
4.72,-74.05,14826;6172;9719;6615;14932;7444;16985;11145;14972;18130;13284;16180;14983;6361;18096;14727;5327;7733;534;1380;4598;18669;9831;20331;18874;17254;7741;3794;868;2089;802;15003;20603;21027;9755,35,0
4.71,-74.12,18037;4023;5786;258;2736;2775;7515;4614;17755;18499;2282;7578;3135;4707;21;15107;22273;18536;19535;13573;13601;2781;21764;10679;7519;3599;11675;13302;12511;2008;3840;13874,32,0
4.53,-74.11,19322;13710;7691;12542;16331;15491;682,7,0
4.75,-74.06,17705;9513;9477;13771;13353;15908;13762;14706;14640;13962;14141;8802;9466;9465;14324;8225;9495;17053;11299,19,0
4.59,-74.17,15497;16250;15620;9579;1506;416;13207;10643;14984;9490;1675;12939;13930;21802;12937;413;533;12933;5716;14811;9489;9503;9567;10154;198;14991;118;489;20925;10567;10791,31,0
4.55,-74.17,2434;11884;9;15005;15599;15565;11425,7,0
4.65,-74.06,7369;2285;7653;9008;7611;9007;9587;7383;860;14195;15043;778;22159;4755;7376;5394;20595;6854;19349;5975;7836;9274;6301;7976;5354;7641;21992;7029;18422;4960;7639;21817;16210;4704;5108;15639;7914;10485;16615;10458;15913;20831;16922;14001;15635;15553;5242;240;6783;19391,50,0
4.57,-74.08,13755;19203;1261;8373;13757;2659;19567;18719;348;9206;12024;5298;6487;6499;5294;10161;12177,17,0
4.76,-74.12,7378;16734;17875;2623,4,0
4.69,-74.04,17104;6817;21482;20228;14083;678;16918;3637;20243;17471;20305,11,0
4.61,-74.17,16831;414;13199;2679;16143;13393;20575;9467;4108;12627;603;15194;12128;161;14968;9443;6682;70;9439;5532;17701;20248;14327;16495;9440;963;171;9177;279;12770;4205;15217;20554;12124;10405;20015;10406;19021,38,0
4.58,-74.2,6070;7676;7024;9469;2107;132;13021;5809;18778;13002;6990;156;5468;5996;17303;7764;11116;11103;369;76;21758;6887,22,0
4.7,-74.06,16251;21231;14734;11000;18948;14735;21323;2095;14038;18389,10,0
4.5,-74.1,14177;6237;6625;17231;20429;3857;6086;11637;10278;10301;5609;10277;1407;5606;5483;21210;10664;10693;10302;10513;6354;13273,22,0
4.55,-74.12,14782;3804;1502;3493;633;17527;12106;18018;17459,9,0
4.57,-74.24,126;6197;9205;463;131;11852;15747;383;9989;2493;5652;5233;345;200;275;64;119;1702;10;493;109;12098;2499,23,0
4.77,-74.05,4610;14307;13650,3,0
4.72,-74.21,22076;685;3747;2930;3672;3979;3133;2935,8,0
4.66,-74.13,21208;14024;14790;6531;17082;6641,6,0
4.47,-74.12,10760;887;2528,3,0
4.56,-74.07,14047,1,0
4.53,-74.08,6861,1,0
4.29,-74.8,8241,1,0
